:qは メタデータ	0.00625
<s> 無料	0.00122249388753
スキャン 領域	0.333333333333
韻律 など	0.2
を フリー	0.00176991150442
表層 的	1.0
（ アジア	0.00526315789474
オレンジ 色	1.0
大声	5.34730763061e-05
対象 の	0.483870967742
対象 に	0.129032258065
対象 と	0.225806451613
中心	5.34730763061e-05
、 質問	0.0016583747927
（ Ｕｎｉｔ	0.00526315789474
の 方針	0.00115074798619
の 技術	0.00805523590334
は 後者	0.00208333333333
ｒｅｃａｌｌ ｝	0.5
<s> １９４９	0.00122249388753
アーサー ・	1.0
事	0.000106946152612
の 出力	0.00345224395857
<s> １９４０	0.00122249388753
部屋	5.34730763061e-05
<s> 日本	0.00611246943765
この 方式	0.025
特定 する	0.0714285714286
述べ	5.34730763061e-05
対訳 エディタ	1.0
パーソナライズ さ	1.0
後継 の	1.0
続け て	0.2
理解 可能	0.05
設定	0.000106946152612
た 機械	0.0122448979592
ＲＣＡ の	0.4
ＲＣＡ は	0.4
人	0.000695149991979
ハイパー テキスト	1.0
で 読み取	0.00817438692098
の 利用	0.00460299194476
後半	5.34730763061e-05
発声 さ	0.153846153846
資金 と	1.0
論文 を	0.5
取り扱い の	1.0
ＶＴＬＮ ）	1.0
処理 技術	0.0192307692308
社 に	1.0
を ＭＦＴ	0.00176991150442
１９６５	0.000160419228918
Ｈｏｍｅｒ	5.34730763061e-05
ベイズ の	1.0
確認 する	0.333333333333
て 記号	0.002457002457
、 病院	0.0016583747927
１９６１	5.34730763061e-05
語 、	0.114285714286
紫外	5.34730763061e-05
こゆう	5.34730763061e-05
データ が	0.0350877192982
の パッケージ	0.00115074798619
データ か	0.0175438596491
、 ロボット	0.00331674958541
認識 でき	0.0337078651685
が 限度	0.0027397260274
シェパード から	0.2
データ の	0.210526315789
ただし こちら	0.333333333333
データ と	0.0350877192982
の 開発	0.00575373993096
データ に	0.0526315789474
再現	0.000588203839367
り ［	0.0169491525424
的 自然	0.0485436893204
<s> １９７６	0.00122249388753
コツ	5.34730763061e-05
変化	0.00026736538153
に 従	0.00378071833648
前述 の	1.0
　 Ｃｈａｒａｃｔｅｒ	0.00189753320683
プログラム で	0.5
読みと	0.000106946152612
語族	5.34730763061e-05
